,,,
1,348,511,747
35,333,610,845
90,465,595,979
1,331,421,658
72,168,364,759
1,187,493,692
287,586,794,1024
1,337,482,754
452,689,897,1004
1,326,552,658
1,255,407,632
71,366,725,774
1,106,461,852
1,279,557,805
1,233,412,654
89,355,663,998
206,411,640,1012
73,383,588,908
675,709,760,903
165,394,705,960
158,443,648,751
208,476,585,996
313,447,810,1003
37,473,674,887
204,498,696,1014
1,291,535,860
1,106,521,685
163,448,656,1014
1,212,575,801
35,485,711,895
87,472,754,893
19,280,537,785
275,495,727,1008
102,452,579,882
1,305,540,718
36,255,547,725
1,213,523,780
12,229,511,760
13,291,357,640
341,473,748,972
1,318,657,945
217,444,683,999
1,405,479,744
439,575,828,1023
99,370,630,909
264,469,794,1020
279,500,747,1010
1,330,575,890
281,316,727,857
296,489,640,963
117,323,537,925
53,396,603,944
43,402,554,782
1,219,470,758
380,462,939,999
1,244,609,877
93,305,550,928
79,103,358,920
1,113,526,786
40,587,728,821
53,339,535,815
433,564,875,901
70,299,556,874
97,134,437,853
1,392,533,857
1,183,330,637
206,282,658,1021
18,179,533,879
9,225,483,817
42,326,489,830
193,490,696,1006
72,200,453,859
10,268,550,880
353,483,638,978
83,334,439,781
1,206,411,615
238,434,729,923
41,288,591,901
1,252,501,761
1,225,506,868
39,262,519,755
1,333,509,620
1,222,443,664
111,321,548,849
158,371,762,996
1,207,543,762
1,241,478,628
274,344,620,864
1,327,481,727
8,402,538,862
63,319,514,775
202,635,763,1024
312,613,880,1003
88,375,750,953
55,304,496,759
171,546,677,972
1,328,468,727
1,397,612,1002
15,396,886,985
1,340,500,819
1,254,506,706
1,240,500,777
145,440,648,942
84,376,567,778
469,584,640,694
1,255,513,768
1,399,536,861
105,281,510,924
1,361,605,785
1,346,624,708
313,636,894,1000
569,756,831,965
1,201,484,781
219,465,654,931
1,378,502,827
1,238,457,717
106,203,392,934
86,437,709,940
22,235,503,709
49,276,517,985
87,227,489,855
69,234,440,854
1,347,474,755
1,339,511,684
1,352,517,766
281,457,594,987
1,190,493,689
1,216,469,973
142,398,833,975
1,265,447,630
1,260,612,837
1,326,561,659
1,310,496,807
1,355,596,778
14,306,379,641
1,411,533,867
286,580,805,1001
129,384,640,896
1,171,493,674
168,524,806,950
104,359,616,865
1,313,399,642
1,331,458,777
1,283,383,671
1,291,483,723
374,535,773,1002
185,523,726,1009
1,221,523,862
31,369,629,678
22,437,754,911
236,449,613,973
176,428,686,938
